=== OVS Snapshot: post_tcp @ 2026-04-19T23:34:17,187376005-07:00 ===
--- agg1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2): flags=[more]
 cookie=0x0, duration=133.303s, table=0, n_packets=72535, n_bytes=4817814, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.25,nw_dst=10.0.0.27,tp_src=5001,tp_dst=56646 actions=set_field:00:00:00:00:00:1b->eth_dst,output:3
 cookie=0x0, duration=133.286s, table=0, n_packets=167358, n_bytes=7455540556, idle_timeout=15, priority=100,tcp,in_port=8,nw_src=10.0.0.165,nw_dst=10.0.1.163,tp_src=33334,tp_dst=5001 actions=set_field:00:00:00:00:01:a1->eth_dst,output:19
 cookie=0x0, duration=133.286s, table=0, n_packets=103338, n_bytes=6825116, idle_timeout=15, priority=100,tcp,in_port=19,nw_src=10.0.1.163,nw_dst=10.0.0.165,tp_src=5001,tp_dst=33334 actions=set_field:00:00:00:00:00:a5->eth_dst,output:8
 cookie=0x0, duration=133.286s, table=0, n_packets=139356, n_bytes=6349263208, idle_timeout=15, priority=100,tcp,in_port=7,nw_src=10.0.0.135,nw_dst=10.0.1.133,tp_src=60120,tp_dst=5001 actions=set_field:00:00:00:00:01:83->eth_dst,output:18
 cookie=0x0, duration=133.286s, table=0, n_packets=59831, n_bytes=3955142, idle_timeout=15, priority=100,tcp,in_port=18,nw_src=10.0.1.133,nw_dst=10.0.0.135,tp_src=5001,tp_dst=60120 actions=set_field:00:00:00:00:00:87->eth_dst,output:7
 cookie=0x0, duration=133.269s, table=0, n_packets=156480, n_bytes=6859817920, idle_timeout=15, priority=100,tcp,in_port=3,nw_src=10.0.0.45,nw_dst=10.0.1.43,tp_src=41166,tp_dst=5001 actions=set_field:00:00:00:00:01:29->eth_dst,output:14
 cookie=0x0, duration=133.269s, table=0, n_packets=86610, n_bytes=5723144, idle_timeout=15, priority=100,tcp,in_port=14,nw_src=10.0.1.43,nw_dst=10.0.0.45,tp_src=5001,tp_dst=41166 actions=set_field:00:00:00:00:00:2d->eth_dst,output:3
 cookie=0x0, duration=133.269s, table=0, n_packets=139662, n_bytes=6333998260, idle_timeout=15, priority=100,tcp,in_port=10,nw_src=10.0.0.210,nw_dst=10.0.1.208,tp_src=35292,tp_dst=5001 actions=set_field:00:00:00:00:01:ce->eth_dst,output:21
 cookie=0x0, duration=133.269s, table=0, n_packets=70211, n_bytes=4663486, idle_timeout=15, priority=100,tcp,in_port=21,nw_src=10.0.1.208,nw_dst=10.0.0.210,tp_src=5001,tp_dst=35292 actions=set_field:00:00:00:00:00:d2->eth_dst,output:10
 cookie=0x0, duration=133.269s, table=0, n_packets=137138, n_bytes=5998331596, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.0.244,nw_dst=10.0.1.242,tp_src=49916,tp_dst=5001 actions=set_field:00:00:00:00:01:f0->eth_dst,output:22
