=== OVS Snapshot: during_ping @ 2026-04-19T23:29:47,988341860-07:00 ===
--- agg1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2):
 cookie=0x0, duration=14.618s, table=0, n_packets=7, n_bytes=10584, idle_timeout=15, priority=100,udp,in_port=19,nw_src=10.0.1.168,nw_dst=10.0.0.170,tp_src=5001,tp_dst=46012 actions=set_field:00:00:00:00:00:aa->eth_dst,output:9
 cookie=0x0, duration=14.584s, table=0, n_packets=4, n_bytes=2360, idle_timeout=15, priority=100,icmp,in_port=5,nw_src=10.0.0.83,nw_dst=10.0.1.81,icmp_type=3,icmp_code=3 actions=set_field:00:00:00:00:01:4f->eth_dst,output:15
 cookie=0x0, duration=14.584s, table=0, n_packets=5, n_bytes=2950, idle_timeout=15, priority=100,icmp,in_port=5,nw_src=10.0.0.84,nw_dst=10.0.1.82,icmp_type=3,icmp_code=3 actions=set_field:00:00:00:00:01:50->eth_dst,output:15
 cookie=0x0, duration=14.572s, table=0, n_packets=7, n_bytes=10584, idle_timeout=15, priority=100,udp,in_port=19,nw_src=10.0.1.170,nw_dst=10.0.0.172,tp_src=5001,tp_dst=52905 actions=set_field:00:00:00:00:00:ac->eth_dst,output:9
 cookie=0x0, duration=14.558s, table=0, n_packets=6, n_bytes=9072, idle_timeout=15, priority=100,udp,in_port=19,nw_src=10.0.1.171,nw_dst=10.0.0.173,tp_src=5001,tp_dst=58765 actions=set_field:00:00:00:00:00:ad->eth_dst,output:9
 cookie=0x0, duration=14.557s, table=0, n_packets=6, n_bytes=9072, idle_timeout=15, priority=100,udp,in_port=19,nw_src=10.0.1.172,nw_dst=10.0.0.174,tp_src=5001,tp_dst=39315 actions=set_field:00:00:00:00:00:ae->eth_dst,output:9
 cookie=0x0, duration=14.557s, table=0, n_packets=3, n_bytes=1770, idle_timeout=15, priority=100,icmp,in_port=5,nw_src=10.0.0.93,nw_dst=10.0.1.91,icmp_type=3,icmp_code=3 actions=set_field:00:00:00:00:01:59->eth_dst,output:16
 cookie=0x0, duration=14.541s, table=0, n_packets=4, n_bytes=2360, idle_timeout=15, priority=100,icmp,in_port=5,nw_src=10.0.0.94,nw_dst=10.0.1.92,icmp_type=3,icmp_code=3 actions=set_field:00:00:00:00:01:5a->eth_dst,output:16
 cookie=0x0, duration=14.525s, table=0, n_packets=7, n_bytes=10584, idle_timeout=15, priority=100,udp,in_port=19,nw_src=10.0.1.173,nw_dst=10.0.0.175,tp_src=5001,tp_dst=32936 actions=set_field:00:00:00:00:00:af->eth_dst,output:9
 cookie=0x0, duration=14.525s, table=0, n_packets=4, n_bytes=2360, idle_timeout=15, priority=100,icmp,in_port=5,nw_src=10.0.0.95,nw_dst=10.0.1.93,icmp_type=3,icmp_code=3 actions=set_field:00:00:00:00:01:5b->eth_dst,output:16
 cookie=0x0, duration=14.511s, table=0, n_packets=7, n_bytes=10584, idle_timeout=15, priority=100,udp,in_port=19,nw_src=10.0.1.174,nw_dst=10.0.0.176,tp_src=5001,tp_dst=36122 actions=set_field:00:00:00:00:00:b0->eth_dst,output:9
 cookie=0x0, duration=14.494s, table=0, n_packets=6, n_bytes=9072, idle_timeout=15, priority=100,udp,in_port=19,nw_src=10.0.1.175,nw_dst=10.0.0.177,tp_src=5001,tp_dst=44443 actions=set_field:00:00:00:00:00:b1->eth_dst,output:9
 cookie=0x0, duration=14.460s, table=0, n_packets=7, n_bytes=10584, idle_timeout=15, priority=100,udp,in_port=19,nw_src=10.0.1.177,nw_dst=10.0.0.179,tp_src=5001,tp_dst=51009 actions=set_field:00:00:00:00:00:b3->eth_dst,output:9
 cookie=0x0, duration=14.445s, table=0, n_packets=7, n_bytes=10584, idle_timeout=15, priority=100,udp,in_port=19,nw_src=10.0.1.178,nw_dst=10.0.0.180,tp_src=5001,tp_dst=53949 actions=set_field:00:00:00:00:00:b4->eth_dst,output:9
 cookie=0x0, duration=14.407s, table=0, n_packets=6, n_bytes=9072, idle_timeout=15, priority=100,udp,in_port=20,nw_src=10.0.1.185,nw_dst=10.0.0.187,tp_src=5001,tp_dst=46374 actions=set_field:00:00:00:00:00:bb->eth_dst,output:9
 cookie=0x0, duration=14.392s, table=0, n_packets=6, n_bytes=9072, idle_timeout=15, priority=100,udp,in_port=20,nw_src=10.0.1.186,nw_dst=10.0.0.188,tp_src=5001,tp_dst=39036 actions=set_field:00:00:00:00:00:bc->eth_dst,output:9
 cookie=0x0, duration=14.373s, table=0, n_packets=6, n_bytes=9072, idle_timeout=15, priority=100,udp,in_port=20,nw_src=10.0.1.187,nw_dst=10.0.0.189,tp_src=5001,tp_dst=50474 actions=set_field:00:00:00:00:00:bd->eth_dst,output:9
 cookie=0x0, duration=14.326s, table=0, n_packets=6, n_bytes=9072, idle_timeout=15, priority=100,udp,in_port=20,nw_src=10.0.1.188,nw_dst=10.0.0.190,tp_src=5001,tp_dst=50238 actions=set_field:00:00:00:00:00:be->eth_dst,output:9
 cookie=0x0, duration=14.325s, table=0, n_packets=7, n_bytes=10584, idle_timeout=15, priority=100,udp,in_port=20,nw_src=10.0.1.190,nw_dst=10.0.0.192,tp_src=5001,tp_dst=32924 actions=set_field:00:00:00:00:00:c0->eth_dst,output:9
 cookie=0x0, duration=14.294s, table=0, n_packets=7, n_bytes=10584, idle_timeout=15, priority=100,udp,in_port=20,nw_src=10.0.1.191,nw_dst=10.0.0.193,tp_src=5001,tp_dst=42574 actions=set_field:00:00:00:00:00:c1->eth_dst,output:10
 cookie=0x0, duration=14.293s, table=0, n_packets=7, n_bytes=10584, idle_timeout=15, priority=100,udp,in_port=20,nw_src=10.0.1.192,nw_dst=10.0.0.194,tp_src=5001,tp_dst=58272 actions=set_field:00:00:00:00:00:c2->eth_dst,output:10
 cookie=0x0, duration=14.275s, table=0, n_packets=5, n_bytes=2950, idle_timeout=15, priority=100,icmp,in_port=7,nw_src=10.0.0.121,nw_dst=10.0.1.119,icmp_type=3,icmp_code=3 actions=set_field:00:00:00:00:01:75->eth_dst,output:17
 cookie=0x0, duration=14.275s, table=0, n_packets=7, n_bytes=10584, idle_timeout=15, priority=100,udp,in_port=20,nw_src=10.0.1.193,nw_dst=10.0.0.195,tp_src=5001,tp_dst=60103 actions=set_field:00:00:00:00:00:c3->eth_dst,output:10
 cookie=0x0, duration=14.275s, table=0, n_packets=5, n_bytes=2950, idle_timeout=15, priority=100,icmp,in_port=7,nw_src=10.0.0.122,nw_dst=10.0.1.120,icmp_type=3,icmp_code=3 actions=set_field:00:00:00:00:01:76->eth_dst,output:17
 cookie=0x0, duration=14.256s, table=0, n_packets=5, n_bytes=2950, idle_timeout=15, priority=100,icmp,in_port=5,nw_src=10.0.0.78,nw_dst=10.0.1.76,icmp_type=3,icmp_code=3 actions=set_field:00:00:00:00:01:4a->eth_dst,output:15
 cookie=0x0, duration=14.240s, table=0, n_packets=7, n_bytes=10584, idle_timeout=15, priority=100,udp,in_port=20,nw_src=10.0.1.194,nw_dst=10.0.0.196,tp_src=5001,tp_dst=60668 actions=set_field:00:00:00:00:00:c4->eth_dst,output:10
 cookie=0x0, duration=14.224s, table=0, n_packets=6, n_bytes=9072, idle_timeout=15, priority=100,udp,in_port=20,nw_src=10.0.1.195,nw_dst=10.0.0.197,tp_src=5001,tp_dst=44816 actions=set_field:00:00:00:00:00:c5->eth_dst,output:10
 cookie=0x0, duration=14.224s, table=0, n_packets=4, n_bytes=2360, idle_timeout=15, priority=100,icmp,in_port=5,nw_src=10.0.0.79,nw_dst=10.0.1.77,icmp_type=3,icmp_code=3 actions=set_field:00:00:00:00:01:4b->eth_dst,output:15
 cookie=0x0, duration=14.202s, table=0, n_packets=7, n_bytes=10584, idle_timeout=15, priority=100,udp,in_port=20,nw_src=10.0.1.196,nw_dst=10.0.0.198,tp_src=5001,tp_dst=47872 actions=set_field:00:00:00:00:00:c6->eth_dst,output:10
 cookie=0x0, duration=14.202s, table=0, n_packets=6, n_bytes=9072, idle_timeout=15, priority=100,udp,in_port=21,nw_src=10.0.1.203,nw_dst=10.0.0.205,tp_src=5001,tp_dst=40164 actions=set_field:00:00:00:00:00:cd->eth_dst,output:10
 cookie=0x0, duration=14.202s, table=0, n_packets=4, n_bytes=2360, idle_timeout=15, priority=100,icmp,in_port=5,nw_src=10.0.0.80,nw_dst=10.0.1.78,icmp_type=3,icmp_code=3 actions=set_field:00:00:00:00:01:4c->eth_dst,output:15
 cookie=0x0, duration=14.190s, table=0, n_packets=6, n_bytes=9072, idle_timeout=15, priority=100,udp,in_port=21,nw_src=10.0.1.204,nw_dst=10.0.0.206,tp_src=5001,tp_dst=53087 actions=set_field:00:00:00:00:00:ce->eth_dst,output:10
 cookie=0x0, duration=14.190s, table=0, n_packets=7, n_bytes=10584, idle_timeout=15, priority=100,udp,in_port=20,nw_src=10.0.1.197,nw_dst=10.0.0.199,tp_src=5001,tp_dst=59623 actions=set_field:00:00:00:00:00:c7->eth_dst,output:10
 cookie=0x0, duration=14.190s, table=0, n_packets=4, n_bytes=2360, idle_timeout=15, priority=100,icmp,in_port=7,nw_src=10.0.0.133,nw_dst=10.0.1.131,icmp_type=3,icmp_code=3 actions=set_field:00:00:00:00:01:81->eth_dst,output:18
