=== OVS Snapshot: post_churn @ 2026-04-20T00:38:52,313717513-07:00 ===
--- agg1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2):
 cookie=0x0, duration=14.650s, table=0, n_packets=2600, n_bytes=172128, idle_timeout=15, priority=100,tcp,in_port=19,nw_src=10.0.1.164,nw_dst=10.0.0.166,tp_src=5001,tp_dst=35950 actions=set_field:00:00:00:00:00:a6->eth_dst,output:8
 cookie=0x0, duration=14.639s, table=0, n_packets=6162, n_bytes=331256308, idle_timeout=15, priority=100,tcp,in_port=8,nw_src=10.0.0.150,nw_dst=10.0.1.148,tp_src=37438,tp_dst=5001 actions=set_field:00:00:00:00:01:92->eth_dst,output:18
 cookie=0x0, duration=14.639s, table=0, n_packets=1174, n_bytes=78008, idle_timeout=15, priority=100,tcp,in_port=18,nw_src=10.0.1.148,nw_dst=10.0.0.150,tp_src=5001,tp_dst=37438 actions=set_field:00:00:00:00:00:96->eth_dst,output:8
 cookie=0x0, duration=14.615s, table=0, n_packets=6014, n_bytes=313562564, idle_timeout=15, priority=100,tcp,in_port=8,nw_src=10.0.0.154,nw_dst=10.0.1.152,tp_src=36784,tp_dst=5001 actions=set_field:00:00:00:00:01:96->eth_dst,output:18
 cookie=0x0, duration=14.615s, table=0, n_packets=1457, n_bytes=96698, idle_timeout=15, priority=100,tcp,in_port=18,nw_src=10.0.1.152,nw_dst=10.0.0.154,tp_src=5001,tp_dst=36784 actions=set_field:00:00:00:00:00:9a->eth_dst,output:8
 cookie=0x0, duration=14.479s, table=0, n_packets=11946, n_bytes=555249036, idle_timeout=15, priority=100,tcp,in_port=8,nw_src=10.0.0.149,nw_dst=10.0.1.147,tp_src=50674,tp_dst=5001 actions=set_field:00:00:00:00:01:91->eth_dst,output:18
 cookie=0x0, duration=14.479s, table=0, n_packets=9024, n_bytes=596036, idle_timeout=15, priority=100,tcp,in_port=18,nw_src=10.0.1.147,nw_dst=10.0.0.149,tp_src=5001,tp_dst=50674 actions=set_field:00:00:00:00:00:95->eth_dst,output:8
 cookie=0x0, duration=14.178s, table=0, n_packets=6139, n_bytes=330539886, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.0.247,nw_dst=10.0.1.245,tp_src=45574,tp_dst=5001 actions=set_field:00:00:00:00:01:f3->eth_dst,output:22
 cookie=0x0, duration=14.178s, table=0, n_packets=1619, n_bytes=108182, idle_timeout=15, priority=100,tcp,in_port=22,nw_src=10.0.1.245,nw_dst=10.0.0.247,tp_src=5001,tp_dst=45574 actions=set_field:00:00:00:00:00:f7->eth_dst,output:12
 cookie=0x0, duration=14.080s, table=0, n_packets=11354, n_bytes=547096564, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.0.243,nw_dst=10.0.1.241,tp_src=59328,tp_dst=5001 actions=set_field:00:00:00:00:01:ef->eth_dst,output:22
