=== OVS Snapshot: mid_udp @ 2026-04-19T22:28:46,658485623-07:00 ===
--- agg1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2):
 cookie=0x0, duration=60.586s, table=0, n_packets=539, n_bytes=814968, idle_timeout=15, priority=100,udp,in_port=5,nw_src=10.0.0.89,nw_dst=10.0.1.87,tp_src=42894,tp_dst=5001 actions=set_field:00:00:00:00:01:55->eth_dst,output:16
 cookie=0x0, duration=60.569s, table=0, n_packets=538, n_bytes=813456, idle_timeout=15, priority=100,udp,in_port=6,nw_src=10.0.0.100,nw_dst=10.0.1.98,tp_src=43507,tp_dst=5001 actions=set_field:00:00:00:00:01:60->eth_dst,output:16
 cookie=0x0, duration=60.569s, table=0, n_packets=542, n_bytes=819504, idle_timeout=15, priority=100,udp,in_port=4,nw_src=10.0.0.62,nw_dst=10.0.1.60,tp_src=57504,tp_dst=5001 actions=set_field:00:00:00:00:01:3a->eth_dst,output:15
 cookie=0x0, duration=60.552s, table=0, n_packets=538, n_bytes=813456, idle_timeout=15, priority=100,udp,in_port=6,nw_src=10.0.0.101,nw_dst=10.0.1.99,tp_src=39149,tp_dst=5001 actions=set_field:00:00:00:00:01:61->eth_dst,output:16
 cookie=0x0, duration=60.464s, table=0, n_packets=537, n_bytes=811944, idle_timeout=15, priority=100,udp,in_port=6,nw_src=10.0.0.104,nw_dst=10.0.1.102,tp_src=47931,tp_dst=5001 actions=set_field:00:00:00:00:01:64->eth_dst,output:16
 cookie=0x0, duration=60.449s, table=0, n_packets=537, n_bytes=811944, idle_timeout=15, priority=100,udp,in_port=6,nw_src=10.0.0.105,nw_dst=10.0.1.103,tp_src=43205,tp_dst=5001 actions=set_field:00:00:00:00:01:65->eth_dst,output:16
 cookie=0x0, duration=60.413s, table=0, n_packets=537, n_bytes=811944, idle_timeout=15, priority=100,udp,in_port=6,nw_src=10.0.0.106,nw_dst=10.0.1.104,tp_src=47814,tp_dst=5001 actions=set_field:00:00:00:00:01:66->eth_dst,output:16
 cookie=0x0, duration=60.393s, table=0, n_packets=537, n_bytes=811944, idle_timeout=15, priority=100,udp,in_port=6,nw_src=10.0.0.107,nw_dst=10.0.1.105,tp_src=58964,tp_dst=5001 actions=set_field:00:00:00:00:01:67->eth_dst,output:16
 cookie=0x0, duration=60.393s, table=0, n_packets=539, n_bytes=814968, idle_timeout=15, priority=100,udp,in_port=5,nw_src=10.0.0.90,nw_dst=10.0.1.88,tp_src=52583,tp_dst=5001 actions=set_field:00:00:00:00:01:56->eth_dst,output:16
 cookie=0x0, duration=60.372s, table=0, n_packets=537, n_bytes=811944, idle_timeout=15, priority=100,udp,in_port=6,nw_src=10.0.0.108,nw_dst=10.0.1.106,tp_src=48084,tp_dst=5001 actions=set_field:00:00:00:00:01:68->eth_dst,output:16
