=== UDP Jitter + Packet Loss Summary ===
Topology           : Large (~500+ hosts, 48-port switches)
Pairs available    : 252
Pairs tested       : 252
Rate per pair      : 100K
Aggregate offered  : see per-pair rate
Duration           : 120s

Pair                           Jitter(ms)   Loss(lost/total)   Delivery Status         
h142->h394                     10.191       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h143->h395                     9.979        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h144->h396                     10.196       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h145->h397                     9.275        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h146->h398                     15.006       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h147->h399                     16.081       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h148->h400                     15.145       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h149->h401                     14.410       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h150->h402                     13.150       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h151->h403                     11.834       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h152->h404                     12.145       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h153->h405                     11.587       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h154->h406                     10.695       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h155->h407                     10.260       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h156->h408                     14.739       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h157->h409                     16.152       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h158->h410                     16.783       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h159->h411                     15.931       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h160->h412                     14.452       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h161->h413                     13.632       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h162->h414                     14.269       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h163->h415                     13.020       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h164->h416                     11.638       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h165->h417                     15.334       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h166->h418                     13.194       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h167->h419                     18.113       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h168->h420                     17.647       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h169->h421                     76.172       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h170->h422                     74.273       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h171->h423                     74.458       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h172->h424                     74.789       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h173->h425                     73.730       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h174->h426                     72.612       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h175->h427                     75.957       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h176->h428                     74.424       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h177->h429                     79.571       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h178->h430                     78.786       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h179->h431                     15.941       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h180->h432                     14.622       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h181->h433                     13.184       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h182->h434                     13.063       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h183->h435                     12.620       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
