=== OVS Snapshot: post_tcp @ 2026-04-19T23:14:21,854770220-07:00 ===
--- agg1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2): flags=[more]
 cookie=0x0, duration=134.666s, table=0, n_packets=62754, n_bytes=4149488, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.1.4,nw_dst=10.0.0.6,tp_src=5001,tp_dst=45140 actions=set_field:00:00:00:00:00:06->eth_dst,output:2
 cookie=0x0, duration=134.640s, table=0, n_packets=155760, n_bytes=6836517576, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.9,nw_dst=10.0.1.7,tp_src=45004,tp_dst=5001 actions=set_field:00:00:00:00:01:05->eth_dst,output:12
 cookie=0x0, duration=134.639s, table=0, n_packets=86221, n_bytes=5722634, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.1.7,nw_dst=10.0.0.9,tp_src=5001,tp_dst=45004 actions=set_field:00:00:00:00:00:09->eth_dst,output:2
 cookie=0x0, duration=134.639s, table=0, n_packets=163066, n_bytes=6755738012, idle_timeout=15, priority=100,tcp,in_port=4,nw_src=10.0.0.55,nw_dst=10.0.1.53,tp_src=48864,tp_dst=5001 actions=set_field:00:00:00:00:01:33->eth_dst,output:14
 cookie=0x0, duration=134.639s, table=0, n_packets=90207, n_bytes=6009238, idle_timeout=15, priority=100,tcp,in_port=14,nw_src=10.0.1.53,nw_dst=10.0.0.55,tp_src=5001,tp_dst=48864 actions=set_field:00:00:00:00:00:37->eth_dst,output:4
 cookie=0x0, duration=134.639s, table=0, n_packets=155723, n_bytes=6420911214, idle_timeout=15, priority=100,tcp,in_port=4,nw_src=10.0.0.61,nw_dst=10.0.1.59,tp_src=55102,tp_dst=5001 actions=set_field:00:00:00:00:01:39->eth_dst,output:15
 cookie=0x0, duration=134.639s, table=0, n_packets=82683, n_bytes=5517398, idle_timeout=15, priority=100,tcp,in_port=15,nw_src=10.0.1.59,nw_dst=10.0.0.61,tp_src=5001,tp_dst=55102 actions=set_field:00:00:00:00:00:3d->eth_dst,output:4
 cookie=0x0, duration=134.639s, table=0, n_packets=152487, n_bytes=6628412718, idle_timeout=15, priority=100,tcp,in_port=4,nw_src=10.0.0.54,nw_dst=10.0.1.52,tp_src=57106,tp_dst=5001 actions=set_field:00:00:00:00:01:32->eth_dst,output:14
 cookie=0x0, duration=134.639s, table=0, n_packets=79983, n_bytes=5321458, idle_timeout=15, priority=100,tcp,in_port=14,nw_src=10.0.1.52,nw_dst=10.0.0.54,tp_src=5001,tp_dst=57106 actions=set_field:00:00:00:00:00:36->eth_dst,output:4
 cookie=0x0, duration=134.639s, table=0, n_packets=145807, n_bytes=6391131014, idle_timeout=15, priority=100,tcp,in_port=4,nw_src=10.0.0.49,nw_dst=10.0.1.47,tp_src=51810,tp_dst=5001 actions=set_field:00:00:00:00:01:2d->eth_dst,output:14
 cookie=0x0, duration=134.639s, table=0, n_packets=76931, n_bytes=5150190, idle_timeout=15, priority=100,tcp,in_port=14,nw_src=10.0.1.47,nw_dst=10.0.0.49,tp_src=5001,tp_dst=51810 actions=set_field:00:00:00:00:00:31->eth_dst,output:4
 cookie=0x0, duration=134.639s, table=0, n_packets=147442, n_bytes=6618262828, idle_timeout=15, priority=100,tcp,in_port=4,nw_src=10.0.0.50,nw_dst=10.0.1.48,tp_src=56866,tp_dst=5001 actions=set_field:00:00:00:00:01:2e->eth_dst,output:14
 cookie=0x0, duration=134.639s, table=0, n_packets=68767, n_bytes=4569666, idle_timeout=15, priority=100,tcp,in_port=14,nw_src=10.0.1.48,nw_dst=10.0.0.50,tp_src=5001,tp_dst=56866 actions=set_field:00:00:00:00:00:32->eth_dst,output:4
 cookie=0x0, duration=134.639s, table=0, n_packets=155033, n_bytes=6813125338, idle_timeout=15, priority=100,tcp,in_port=5,nw_src=10.0.0.77,nw_dst=10.0.1.75,tp_src=46092,tp_dst=5001 actions=set_field:00:00:00:00:01:49->eth_dst,output:15
 cookie=0x0, duration=134.639s, table=0, n_packets=94344, n_bytes=6266408, idle_timeout=15, priority=100,tcp,in_port=15,nw_src=10.0.1.75,nw_dst=10.0.0.77,tp_src=5001,tp_dst=46092 actions=set_field:00:00:00:00:00:4d->eth_dst,output:5
