=== OVS Snapshot: during_ping @ 2026-04-19T23:49:32,178696010-07:00 ===
--- agg1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2): flags=[more]
 cookie=0x0, duration=14.715s, table=0, n_packets=1045, n_bytes=1580040, idle_timeout=15, priority=100,udp,in_port=6,nw_src=10.0.0.102,nw_dst=10.0.1.100,tp_src=33512,tp_dst=5001 actions=set_field:00:00:00:00:01:62->eth_dst,output:16
 cookie=0x0, duration=14.710s, table=0, n_packets=0, n_bytes=0, idle_timeout=15, priority=100,udp,in_port=16,nw_src=10.0.1.101,nw_dst=10.0.0.103,tp_src=5001,tp_dst=54323 actions=set_field:00:00:00:00:00:67->eth_dst,output:6
 cookie=0x0, duration=14.710s, table=0, n_packets=1045, n_bytes=1580040, idle_timeout=15, priority=100,udp,in_port=6,nw_src=10.0.0.103,nw_dst=10.0.1.101,tp_src=54323,tp_dst=5001 actions=set_field:00:00:00:00:01:63->eth_dst,output:16
 cookie=0x0, duration=14.694s, table=0, n_packets=0, n_bytes=0, idle_timeout=15, priority=100,udp,in_port=16,nw_src=10.0.1.102,nw_dst=10.0.0.104,tp_src=5001,tp_dst=47817 actions=set_field:00:00:00:00:00:68->eth_dst,output:6
 cookie=0x0, duration=14.694s, table=0, n_packets=1045, n_bytes=1580040, idle_timeout=15, priority=100,udp,in_port=6,nw_src=10.0.0.104,nw_dst=10.0.1.102,tp_src=47817,tp_dst=5001 actions=set_field:00:00:00:00:01:64->eth_dst,output:16
 cookie=0x0, duration=14.682s, table=0, n_packets=0, n_bytes=0, idle_timeout=15, priority=100,udp,in_port=16,nw_src=10.0.1.103,nw_dst=10.0.0.105,tp_src=5001,tp_dst=54821 actions=set_field:00:00:00:00:00:69->eth_dst,output:6
 cookie=0x0, duration=14.682s, table=0, n_packets=1045, n_bytes=1580040, idle_timeout=15, priority=100,udp,in_port=6,nw_src=10.0.0.105,nw_dst=10.0.1.103,tp_src=54821,tp_dst=5001 actions=set_field:00:00:00:00:01:65->eth_dst,output:16
 cookie=0x0, duration=14.673s, table=0, n_packets=0, n_bytes=0, idle_timeout=15, priority=100,udp,in_port=16,nw_src=10.0.1.104,nw_dst=10.0.0.106,tp_src=5001,tp_dst=47247 actions=set_field:00:00:00:00:00:6a->eth_dst,output:6
 cookie=0x0, duration=14.673s, table=0, n_packets=1044, n_bytes=1578528, idle_timeout=15, priority=100,udp,in_port=6,nw_src=10.0.0.106,nw_dst=10.0.1.104,tp_src=47247,tp_dst=5001 actions=set_field:00:00:00:00:01:66->eth_dst,output:16
 cookie=0x0, duration=14.663s, table=0, n_packets=0, n_bytes=0, idle_timeout=15, priority=100,udp,in_port=16,nw_src=10.0.1.105,nw_dst=10.0.0.107,tp_src=5001,tp_dst=57928 actions=set_field:00:00:00:00:00:6b->eth_dst,output:6
 cookie=0x0, duration=14.663s, table=0, n_packets=1045, n_bytes=1580040, idle_timeout=15, priority=100,udp,in_port=6,nw_src=10.0.0.107,nw_dst=10.0.1.105,tp_src=57928,tp_dst=5001 actions=set_field:00:00:00:00:01:67->eth_dst,output:16
 cookie=0x0, duration=14.647s, table=0, n_packets=0, n_bytes=0, idle_timeout=15, priority=100,udp,in_port=16,nw_src=10.0.1.106,nw_dst=10.0.0.108,tp_src=5001,tp_dst=45190 actions=set_field:00:00:00:00:00:6c->eth_dst,output:6
 cookie=0x0, duration=14.647s, table=0, n_packets=1045, n_bytes=1580040, idle_timeout=15, priority=100,udp,in_port=6,nw_src=10.0.0.108,nw_dst=10.0.1.106,tp_src=45190,tp_dst=5001 actions=set_field:00:00:00:00:01:68->eth_dst,output:16
 cookie=0x0, duration=14.641s, table=0, n_packets=1, n_bytes=1512, idle_timeout=15, priority=100,udp,in_port=17,nw_src=10.0.1.108,nw_dst=10.0.0.110,tp_src=5001,tp_dst=47540 actions=set_field:00:00:00:00:00:6e->eth_dst,output:6
 cookie=0x0, duration=14.641s, table=0, n_packets=1045, n_bytes=1580040, idle_timeout=15, priority=100,udp,in_port=6,nw_src=10.0.0.110,nw_dst=10.0.1.108,tp_src=47540,tp_dst=5001 actions=set_field:00:00:00:00:01:6a->eth_dst,output:17
 cookie=0x0, duration=14.641s, table=0, n_packets=1, n_bytes=1512, idle_timeout=15, priority=100,udp,in_port=17,nw_src=10.0.1.107,nw_dst=10.0.0.109,tp_src=5001,tp_dst=58872 actions=set_field:00:00:00:00:00:6d->eth_dst,output:6
 cookie=0x0, duration=14.641s, table=0, n_packets=1045, n_bytes=1580040, idle_timeout=15, priority=100,udp,in_port=6,nw_src=10.0.0.109,nw_dst=10.0.1.107,tp_src=58872,tp_dst=5001 actions=set_field:00:00:00:00:01:69->eth_dst,output:17
 cookie=0x0, duration=14.622s, table=0, n_packets=1, n_bytes=1512, idle_timeout=15, priority=100,udp,in_port=17,nw_src=10.0.1.109,nw_dst=10.0.0.111,tp_src=5001,tp_dst=45205 actions=set_field:00:00:00:00:00:6f->eth_dst,output:6
 cookie=0x0, duration=14.622s, table=0, n_packets=1045, n_bytes=1580040, idle_timeout=15, priority=100,udp,in_port=6,nw_src=10.0.0.111,nw_dst=10.0.1.109,tp_src=45205,tp_dst=5001 actions=set_field:00:00:00:00:01:6b->eth_dst,output:17
 cookie=0x0, duration=14.601s, table=0, n_packets=1, n_bytes=1512, idle_timeout=15, priority=100,udp,in_port=17,nw_src=10.0.1.111,nw_dst=10.0.0.113,tp_src=5001,tp_dst=35337 actions=set_field:00:00:00:00:00:71->eth_dst,output:6
 cookie=0x0, duration=14.601s, table=0, n_packets=1045, n_bytes=1580040, idle_timeout=15, priority=100,udp,in_port=6,nw_src=10.0.0.113,nw_dst=10.0.1.111,tp_src=35337,tp_dst=5001 actions=set_field:00:00:00:00:01:6d->eth_dst,output:17
 cookie=0x0, duration=14.598s, table=0, n_packets=1, n_bytes=1512, idle_timeout=15, priority=100,udp,in_port=17,nw_src=10.0.1.110,nw_dst=10.0.0.112,tp_src=5001,tp_dst=54063 actions=set_field:00:00:00:00:00:70->eth_dst,output:6
 cookie=0x0, duration=14.598s, table=0, n_packets=1045, n_bytes=1580040, idle_timeout=15, priority=100,udp,in_port=6,nw_src=10.0.0.112,nw_dst=10.0.1.110,tp_src=54063,tp_dst=5001 actions=set_field:00:00:00:00:01:6c->eth_dst,output:17
 cookie=0x0, duration=14.583s, table=0, n_packets=1, n_bytes=1512, idle_timeout=15, priority=100,udp,in_port=17,nw_src=10.0.1.112,nw_dst=10.0.0.114,tp_src=5001,tp_dst=47961 actions=set_field:00:00:00:00:00:72->eth_dst,output:6
 cookie=0x0, duration=14.583s, table=0, n_packets=1045, n_bytes=1580040, idle_timeout=15, priority=100,udp,in_port=6,nw_src=10.0.0.114,nw_dst=10.0.1.112,tp_src=47961,tp_dst=5001 actions=set_field:00:00:00:00:01:6e->eth_dst,output:17
 cookie=0x0, duration=14.578s, table=0, n_packets=1, n_bytes=1512, idle_timeout=15, priority=100,udp,in_port=17,nw_src=10.0.1.113,nw_dst=10.0.0.115,tp_src=5001,tp_dst=39139 actions=set_field:00:00:00:00:00:73->eth_dst,output:6
 cookie=0x0, duration=14.578s, table=0, n_packets=1045, n_bytes=1580040, idle_timeout=15, priority=100,udp,in_port=6,nw_src=10.0.0.115,nw_dst=10.0.1.113,tp_src=39139,tp_dst=5001 actions=set_field:00:00:00:00:01:6f->eth_dst,output:17
 cookie=0x0, duration=14.570s, table=0, n_packets=1, n_bytes=1512, idle_timeout=15, priority=100,udp,in_port=17,nw_src=10.0.1.114,nw_dst=10.0.0.116,tp_src=5001,tp_dst=35447 actions=set_field:00:00:00:00:00:74->eth_dst,output:6
 cookie=0x0, duration=14.570s, table=0, n_packets=1045, n_bytes=1580040, idle_timeout=15, priority=100,udp,in_port=6,nw_src=10.0.0.116,nw_dst=10.0.1.114,tp_src=35447,tp_dst=5001 actions=set_field:00:00:00:00:01:70->eth_dst,output:17
 cookie=0x0, duration=14.558s, table=0, n_packets=1, n_bytes=1512, idle_timeout=15, priority=100,udp,in_port=17,nw_src=10.0.1.115,nw_dst=10.0.0.117,tp_src=5001,tp_dst=47619 actions=set_field:00:00:00:00:00:75->eth_dst,output:6
 cookie=0x0, duration=14.558s, table=0, n_packets=1045, n_bytes=1580040, idle_timeout=15, priority=100,udp,in_port=6,nw_src=10.0.0.117,nw_dst=10.0.1.115,tp_src=47619,tp_dst=5001 actions=set_field:00:00:00:00:01:71->eth_dst,output:17
 cookie=0x0, duration=14.540s, table=0, n_packets=1, n_bytes=1512, idle_timeout=15, priority=100,udp,in_port=17,nw_src=10.0.1.116,nw_dst=10.0.0.118,tp_src=5001,tp_dst=45745 actions=set_field:00:00:00:00:00:76->eth_dst,output:6
 cookie=0x0, duration=14.540s, table=0, n_packets=1045, n_bytes=1580040, idle_timeout=15, priority=100,udp,in_port=6,nw_src=10.0.0.118,nw_dst=10.0.1.116,tp_src=45745,tp_dst=5001 actions=set_field:00:00:00:00:01:72->eth_dst,output:17
 cookie=0x0, duration=14.535s, table=0, n_packets=1, n_bytes=1512, idle_timeout=15, priority=100,udp,in_port=17,nw_src=10.0.1.117,nw_dst=10.0.0.119,tp_src=5001,tp_dst=60524 actions=set_field:00:00:00:00:00:77->eth_dst,output:6
 cookie=0x0, duration=14.535s, table=0, n_packets=1045, n_bytes=1580040, idle_timeout=15, priority=100,udp,in_port=6,nw_src=10.0.0.119,nw_dst=10.0.1.117,tp_src=60524,tp_dst=5001 actions=set_field:00:00:00:00:01:73->eth_dst,output:17
 cookie=0x0, duration=14.519s, table=0, n_packets=1, n_bytes=1512, idle_timeout=15, priority=100,udp,in_port=17,nw_src=10.0.1.118,nw_dst=10.0.0.120,tp_src=5001,tp_dst=54418 actions=set_field:00:00:00:00:00:78->eth_dst,output:6
 cookie=0x0, duration=14.519s, table=0, n_packets=1045, n_bytes=1580040, idle_timeout=15, priority=100,udp,in_port=6,nw_src=10.0.0.120,nw_dst=10.0.1.118,tp_src=54418,tp_dst=5001 actions=set_field:00:00:00:00:01:74->eth_dst,output:17
 cookie=0x0, duration=14.506s, table=0, n_packets=1, n_bytes=1512, idle_timeout=15, priority=100,udp,in_port=17,nw_src=10.0.1.119,nw_dst=10.0.0.121,tp_src=5001,tp_dst=53271 actions=set_field:00:00:00:00:00:79->eth_dst,output:7
 cookie=0x0, duration=14.506s, table=0, n_packets=1045, n_bytes=1580040, idle_timeout=15, priority=100,udp,in_port=7,nw_src=10.0.0.121,nw_dst=10.0.1.119,tp_src=53271,tp_dst=5001 actions=set_field:00:00:00:00:01:75->eth_dst,output:17
