=== OVS Snapshot: mid_udp @ 2026-04-19T22:08:49,886946693-07:00 ===
--- agg1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2):
 cookie=0x0, duration=61.974s, table=0, n_packets=537, n_bytes=811944, idle_timeout=15, priority=100,udp,in_port=5,nw_src=10.0.0.83,nw_dst=10.0.1.81,tp_src=35694,tp_dst=5001 actions=set_field:00:00:00:00:01:4f->eth_dst,output:15
 cookie=0x0, duration=61.964s, table=0, n_packets=537, n_bytes=811944, idle_timeout=15, priority=100,udp,in_port=5,nw_src=10.0.0.84,nw_dst=10.0.1.82,tp_src=38166,tp_dst=5001 actions=set_field:00:00:00:00:01:50->eth_dst,output:15
 cookie=0x0, duration=61.951s, table=0, n_packets=537, n_bytes=811944, idle_timeout=15, priority=100,udp,in_port=5,nw_src=10.0.0.85,nw_dst=10.0.1.83,tp_src=42336,tp_dst=5001 actions=set_field:00:00:00:00:01:51->eth_dst,output:16
 cookie=0x0, duration=61.938s, table=0, n_packets=537, n_bytes=811944, idle_timeout=15, priority=100,udp,in_port=5,nw_src=10.0.0.86,nw_dst=10.0.1.84,tp_src=59716,tp_dst=5001 actions=set_field:00:00:00:00:01:52->eth_dst,output:16
 cookie=0x0, duration=61.927s, table=0, n_packets=537, n_bytes=811944, idle_timeout=15, priority=100,udp,in_port=5,nw_src=10.0.0.87,nw_dst=10.0.1.85,tp_src=44098,tp_dst=5001 actions=set_field:00:00:00:00:01:53->eth_dst,output:16
 cookie=0x0, duration=61.914s, table=0, n_packets=536, n_bytes=810432, idle_timeout=15, priority=100,udp,in_port=5,nw_src=10.0.0.88,nw_dst=10.0.1.86,tp_src=47181,tp_dst=5001 actions=set_field:00:00:00:00:01:54->eth_dst,output:16
 cookie=0x0, duration=61.902s, table=0, n_packets=536, n_bytes=810432, idle_timeout=15, priority=100,udp,in_port=5,nw_src=10.0.0.89,nw_dst=10.0.1.87,tp_src=39836,tp_dst=5001 actions=set_field:00:00:00:00:01:55->eth_dst,output:16
 cookie=0x0, duration=61.890s, table=0, n_packets=536, n_bytes=810432, idle_timeout=15, priority=100,udp,in_port=5,nw_src=10.0.0.90,nw_dst=10.0.1.88,tp_src=41958,tp_dst=5001 actions=set_field:00:00:00:00:01:56->eth_dst,output:16
 cookie=0x0, duration=61.877s, table=0, n_packets=536, n_bytes=810432, idle_timeout=15, priority=100,udp,in_port=5,nw_src=10.0.0.91,nw_dst=10.0.1.89,tp_src=56470,tp_dst=5001 actions=set_field:00:00:00:00:01:57->eth_dst,output:16
 cookie=0x0, duration=61.867s, table=0, n_packets=536, n_bytes=810432, idle_timeout=15, priority=100,udp,in_port=5,nw_src=10.0.0.92,nw_dst=10.0.1.90,tp_src=36121,tp_dst=5001 actions=set_field:00:00:00:00:01:58->eth_dst,output:16
