=== OVS Snapshot: during_ping @ 2026-04-19T22:10:04,255289597-07:00 ===
--- agg1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2): flags=[more]
 cookie=0x0, duration=13.705s, table=0, n_packets=4, n_bytes=2360, idle_timeout=15, priority=100,icmp,in_port=2,nw_src=10.0.0.9,nw_dst=10.0.1.7,icmp_type=3,icmp_code=3 actions=set_field:00:00:00:00:01:05->eth_dst,output:12
 cookie=0x0, duration=13.691s, table=0, n_packets=0, n_bytes=0, idle_timeout=15, priority=100,icmp,in_port=12,nw_src=10.0.1.7,nw_dst=10.0.0.9,icmp_type=3,icmp_code=3 actions=set_field:00:00:00:00:00:09->eth_dst,output:2
 cookie=0x0, duration=13.690s, table=0, n_packets=4, n_bytes=6048, idle_timeout=15, priority=100,udp,in_port=16,nw_src=10.0.1.101,nw_dst=10.0.0.103,tp_src=5001,tp_dst=56923 actions=set_field:00:00:00:00:00:67->eth_dst,output:6
 cookie=0x0, duration=13.690s, table=0, n_packets=6, n_bytes=9072, idle_timeout=15, priority=100,udp,in_port=15,nw_src=10.0.1.78,nw_dst=10.0.0.80,tp_src=5001,tp_dst=44558 actions=set_field:00:00:00:00:00:50->eth_dst,output:5
 cookie=0x0, duration=13.654s, table=0, n_packets=6, n_bytes=9072, idle_timeout=15, priority=100,udp,in_port=15,nw_src=10.0.1.80,nw_dst=10.0.0.82,tp_src=5001,tp_dst=50190 actions=set_field:00:00:00:00:00:52->eth_dst,output:5
 cookie=0x0, duration=13.654s, table=0, n_packets=4, n_bytes=6048, idle_timeout=15, priority=100,udp,in_port=16,nw_src=10.0.1.103,nw_dst=10.0.0.105,tp_src=5001,tp_dst=57296 actions=set_field:00:00:00:00:00:69->eth_dst,output:6
 cookie=0x0, duration=13.642s, table=0, n_packets=4, n_bytes=6048, idle_timeout=15, priority=100,udp,in_port=16,nw_src=10.0.1.104,nw_dst=10.0.0.106,tp_src=5001,tp_dst=52147 actions=set_field:00:00:00:00:00:6a->eth_dst,output:6
 cookie=0x0, duration=13.629s, table=0, n_packets=5, n_bytes=7560, idle_timeout=15, priority=100,udp,in_port=15,nw_src=10.0.1.81,nw_dst=10.0.0.83,tp_src=5001,tp_dst=35694 actions=set_field:00:00:00:00:00:53->eth_dst,output:5
 cookie=0x0, duration=13.614s, table=0, n_packets=5, n_bytes=7560, idle_timeout=15, priority=100,udp,in_port=15,nw_src=10.0.1.82,nw_dst=10.0.0.84,tp_src=5001,tp_dst=38166 actions=set_field:00:00:00:00:00:54->eth_dst,output:5
 cookie=0x0, duration=13.614s, table=0, n_packets=4, n_bytes=2360, idle_timeout=15, priority=100,icmp,in_port=2,nw_src=10.0.0.10,nw_dst=10.0.1.8,icmp_type=3,icmp_code=3 actions=set_field:00:00:00:00:01:06->eth_dst,output:12
 cookie=0x0, duration=13.614s, table=0, n_packets=0, n_bytes=0, idle_timeout=15, priority=100,icmp,in_port=12,nw_src=10.0.1.8,nw_dst=10.0.0.10,icmp_type=3,icmp_code=3 actions=set_field:00:00:00:00:00:0a->eth_dst,output:2
 cookie=0x0, duration=13.599s, table=0, n_packets=4, n_bytes=6048, idle_timeout=15, priority=100,udp,in_port=16,nw_src=10.0.1.105,nw_dst=10.0.0.107,tp_src=5001,tp_dst=54885 actions=set_field:00:00:00:00:00:6b->eth_dst,output:6
