=== OVS Snapshot: post_udp @ 2026-04-19T22:10:02,444166430-07:00 ===
--- agg1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2): flags=[more]
 cookie=0x0, duration=12.372s, table=0, n_packets=5, n_bytes=7560, idle_timeout=15, priority=100,udp,in_port=15,nw_src=10.0.1.73,nw_dst=10.0.0.75,tp_src=5001,tp_dst=33897 actions=set_field:00:00:00:00:00:4b->eth_dst,output:5
 cookie=0x0, duration=12.372s, table=0, n_packets=1050, n_bytes=1587600, idle_timeout=15, priority=100,udp,in_port=5,nw_src=10.0.0.75,nw_dst=10.0.1.73,tp_src=33897,tp_dst=5001 actions=set_field:00:00:00:00:01:47->eth_dst,output:15
 cookie=0x0, duration=12.340s, table=0, n_packets=5, n_bytes=7560, idle_timeout=15, priority=100,udp,in_port=15,nw_src=10.0.1.74,nw_dst=10.0.0.76,tp_src=5001,tp_dst=59243 actions=set_field:00:00:00:00:00:4c->eth_dst,output:5
 cookie=0x0, duration=12.340s, table=0, n_packets=1050, n_bytes=1587600, idle_timeout=15, priority=100,udp,in_port=5,nw_src=10.0.0.76,nw_dst=10.0.1.74,tp_src=59243,tp_dst=5001 actions=set_field:00:00:00:00:01:48->eth_dst,output:15
 cookie=0x0, duration=12.302s, table=0, n_packets=5, n_bytes=7560, idle_timeout=15, priority=100,udp,in_port=15,nw_src=10.0.1.75,nw_dst=10.0.0.77,tp_src=5001,tp_dst=44507 actions=set_field:00:00:00:00:00:4d->eth_dst,output:5
 cookie=0x0, duration=12.302s, table=0, n_packets=1050, n_bytes=1587600, idle_timeout=15, priority=100,udp,in_port=5,nw_src=10.0.0.77,nw_dst=10.0.1.75,tp_src=44507,tp_dst=5001 actions=set_field:00:00:00:00:01:49->eth_dst,output:15
 cookie=0x0, duration=12.302s, table=0, n_packets=5, n_bytes=7560, idle_timeout=15, priority=100,udp,in_port=15,nw_src=10.0.1.76,nw_dst=10.0.0.78,tp_src=5001,tp_dst=40753 actions=set_field:00:00:00:00:00:4e->eth_dst,output:5
 cookie=0x0, duration=12.284s, table=0, n_packets=1050, n_bytes=1587600, idle_timeout=15, priority=100,udp,in_port=5,nw_src=10.0.0.78,nw_dst=10.0.1.76,tp_src=40753,tp_dst=5001 actions=set_field:00:00:00:00:01:4a->eth_dst,output:15
 cookie=0x0, duration=12.268s, table=0, n_packets=2, n_bytes=1180, idle_timeout=15, priority=100,icmp,in_port=2,nw_src=10.0.0.15,nw_dst=10.0.1.13,icmp_type=3,icmp_code=3 actions=set_field:00:00:00:00:01:0b->eth_dst,output:13
 cookie=0x0, duration=12.268s, table=0, n_packets=0, n_bytes=0, idle_timeout=15, priority=100,icmp,in_port=13,nw_src=10.0.1.13,nw_dst=10.0.0.15,icmp_type=3,icmp_code=3 actions=set_field:00:00:00:00:00:0f->eth_dst,output:2
 cookie=0x0, duration=12.268s, table=0, n_packets=4, n_bytes=6048, idle_timeout=15, priority=100,udp,in_port=16,nw_src=10.0.1.83,nw_dst=10.0.0.85,tp_src=5001,tp_dst=42336 actions=set_field:00:00:00:00:00:55->eth_dst,output:5
 cookie=0x0, duration=12.268s, table=0, n_packets=1049, n_bytes=1586088, idle_timeout=15, priority=100,udp,in_port=5,nw_src=10.0.0.85,nw_dst=10.0.1.83,tp_src=42336,tp_dst=5001 actions=set_field:00:00:00:00:01:51->eth_dst,output:16
 cookie=0x0, duration=12.248s, table=0, n_packets=4, n_bytes=6048, idle_timeout=15, priority=100,udp,in_port=16,nw_src=10.0.1.84,nw_dst=10.0.0.86,tp_src=5001,tp_dst=59716 actions=set_field:00:00:00:00:00:56->eth_dst,output:5
 cookie=0x0, duration=12.248s, table=0, n_packets=1049, n_bytes=1586088, idle_timeout=15, priority=100,udp,in_port=5,nw_src=10.0.0.86,nw_dst=10.0.1.84,tp_src=59716,tp_dst=5001 actions=set_field:00:00:00:00:01:52->eth_dst,output:16
 cookie=0x0, duration=12.219s, table=0, n_packets=4, n_bytes=6048, idle_timeout=15, priority=100,udp,in_port=16,nw_src=10.0.1.85,nw_dst=10.0.0.87,tp_src=5001,tp_dst=44098 actions=set_field:00:00:00:00:00:57->eth_dst,output:5
 cookie=0x0, duration=12.219s, table=0, n_packets=1049, n_bytes=1586088, idle_timeout=15, priority=100,udp,in_port=5,nw_src=10.0.0.87,nw_dst=10.0.1.85,tp_src=44098,tp_dst=5001 actions=set_field:00:00:00:00:01:53->eth_dst,output:16
 cookie=0x0, duration=12.199s, table=0, n_packets=3, n_bytes=1770, idle_timeout=15, priority=100,icmp,in_port=2,nw_src=10.0.0.17,nw_dst=10.0.1.15,icmp_type=3,icmp_code=3 actions=set_field:00:00:00:00:01:0d->eth_dst,output:13
 cookie=0x0, duration=12.199s, table=0, n_packets=0, n_bytes=0, idle_timeout=15, priority=100,icmp,in_port=13,nw_src=10.0.1.15,nw_dst=10.0.0.17,icmp_type=3,icmp_code=3 actions=set_field:00:00:00:00:00:11->eth_dst,output:2
 cookie=0x0, duration=12.199s, table=0, n_packets=4, n_bytes=2360, idle_timeout=15, priority=100,icmp,in_port=2,nw_src=10.0.0.1,nw_dst=10.0.0.253,icmp_type=3,icmp_code=3 actions=set_field:00:00:00:00:00:fd->eth_dst,output:12
