=== OVS Snapshot: pre_tcp @ 2026-04-20T00:11:30,742472463-07:00 ===
--- agg1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2): flags=[more]
 cookie=0x0, duration=131.805s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=4,nw_src=10.0.0.70,nw_dst=10.0.1.68,icmp_type=8,icmp_code=0 actions=set_field:00:00:00:00:01:42->eth_dst,output:15
 cookie=0x0, duration=131.805s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=15,nw_src=10.0.1.68,nw_dst=10.0.0.70,icmp_type=0,icmp_code=0 actions=set_field:00:00:00:00:00:46->eth_dst,output:4
 cookie=0x0, duration=131.805s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=4,nw_src=10.0.0.60,nw_dst=10.0.1.58,icmp_type=8,icmp_code=0 actions=set_field:00:00:00:00:01:38->eth_dst,output:14
 cookie=0x0, duration=131.805s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=14,nw_src=10.0.1.58,nw_dst=10.0.0.60,icmp_type=0,icmp_code=0 actions=set_field:00:00:00:00:00:3c->eth_dst,output:4
 cookie=0x0, duration=131.805s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=4,nw_src=10.0.0.51,nw_dst=10.0.1.49,icmp_type=8,icmp_code=0 actions=set_field:00:00:00:00:01:2f->eth_dst,output:14
 cookie=0x0, duration=131.805s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=14,nw_src=10.0.1.49,nw_dst=10.0.0.51,icmp_type=0,icmp_code=0 actions=set_field:00:00:00:00:00:33->eth_dst,output:4
 cookie=0x0, duration=131.794s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=4,nw_src=10.0.0.57,nw_dst=10.0.1.55,icmp_type=8,icmp_code=0 actions=set_field:00:00:00:00:01:35->eth_dst,output:14
 cookie=0x0, duration=131.794s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=14,nw_src=10.0.1.55,nw_dst=10.0.0.57,icmp_type=0,icmp_code=0 actions=set_field:00:00:00:00:00:39->eth_dst,output:4
 cookie=0x0, duration=131.794s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=4,nw_src=10.0.0.71,nw_dst=10.0.1.69,icmp_type=8,icmp_code=0 actions=set_field:00:00:00:00:01:43->eth_dst,output:15
 cookie=0x0, duration=131.794s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=15,nw_src=10.0.1.69,nw_dst=10.0.0.71,icmp_type=0,icmp_code=0 actions=set_field:00:00:00:00:00:47->eth_dst,output:4
 cookie=0x0, duration=131.794s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=4,nw_src=10.0.0.58,nw_dst=10.0.1.56,icmp_type=8,icmp_code=0 actions=set_field:00:00:00:00:01:36->eth_dst,output:14
 cookie=0x0, duration=131.794s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=14,nw_src=10.0.1.56,nw_dst=10.0.0.58,icmp_type=0,icmp_code=0 actions=set_field:00:00:00:00:00:3a->eth_dst,output:4
 cookie=0x0, duration=131.794s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=4,nw_src=10.0.0.63,nw_dst=10.0.1.61,icmp_type=8,icmp_code=0 actions=set_field:00:00:00:00:01:3b->eth_dst,output:15
 cookie=0x0, duration=131.794s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=15,nw_src=10.0.1.61,nw_dst=10.0.0.63,icmp_type=0,icmp_code=0 actions=set_field:00:00:00:00:00:3f->eth_dst,output:4
 cookie=0x0, duration=131.794s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=4,nw_src=10.0.0.64,nw_dst=10.0.1.62,icmp_type=8,icmp_code=0 actions=set_field:00:00:00:00:01:3c->eth_dst,output:15
 cookie=0x0, duration=131.794s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=15,nw_src=10.0.1.62,nw_dst=10.0.0.64,icmp_type=0,icmp_code=0 actions=set_field:00:00:00:00:00:40->eth_dst,output:4
 cookie=0x0, duration=131.782s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=4,nw_src=10.0.0.68,nw_dst=10.0.1.66,icmp_type=8,icmp_code=0 actions=set_field:00:00:00:00:01:40->eth_dst,output:15
 cookie=0x0, duration=131.782s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=15,nw_src=10.0.1.66,nw_dst=10.0.0.68,icmp_type=0,icmp_code=0 actions=set_field:00:00:00:00:00:44->eth_dst,output:4
 cookie=0x0, duration=131.782s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=4,nw_src=10.0.0.53,nw_dst=10.0.1.51,icmp_type=8,icmp_code=0 actions=set_field:00:00:00:00:01:31->eth_dst,output:14
 cookie=0x0, duration=131.782s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=14,nw_src=10.0.1.51,nw_dst=10.0.0.53,icmp_type=0,icmp_code=0 actions=set_field:00:00:00:00:00:35->eth_dst,output:4
 cookie=0x0, duration=131.782s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=4,nw_src=10.0.0.61,nw_dst=10.0.1.59,icmp_type=8,icmp_code=0 actions=set_field:00:00:00:00:01:39->eth_dst,output:15
 cookie=0x0, duration=131.782s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=15,nw_src=10.0.1.59,nw_dst=10.0.0.61,icmp_type=0,icmp_code=0 actions=set_field:00:00:00:00:00:3d->eth_dst,output:4
