=== OVS Snapshot: post_churn @ 2026-04-19T00:02:46,930956298-07:00 ===
--- agg1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2):
 cookie=0x0, duration=3335.700s, table=0, n_packets=3752869, n_bytes=4958453630, send_flow_rem priority=0 actions=CONTROLLER:65535
agg1 flow_count=1
--- core1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2):
 cookie=0x0, duration=3335.711s, table=0, n_packets=104631, n_bytes=6745012, send_flow_rem priority=0 actions=CONTROLLER:65535
core1 flow_count=1
--- edge1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2): flags=[more]
 cookie=0xa00000000a000a23, duration=21.816s, table=0, n_packets=5, n_bytes=290, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=11,nw_src=10.0.0.10,nw_dst=10.0.8.168,tp_src=35278,tp_dst=5001 actions=set_field:10.0.10.35->ip_src,set_field:10.0.1.8->ip_dst,set_field:02:a0:55:0a:23:29->eth_src,set_field:00:00:00:00:01:06->eth_dst,output:1
 cookie=0xa00000000a000a61, duration=21.740s, table=0, n_packets=6, n_bytes=344, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=15,nw_src=10.0.0.14,nw_dst=10.0.8.183,tp_src=57362,tp_dst=5001 actions=set_field:10.0.10.97->ip_src,set_field:10.0.1.12->ip_dst,set_field:02:a0:55:0a:61:6b->eth_src,set_field:00:00:00:00:01:0a->eth_dst,output:1
 cookie=0xa00000000a000af1, duration=21.740s, table=0, n_packets=6, n_bytes=344, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=24,nw_src=10.0.0.23,nw_dst=10.0.7.155,tp_src=59828,tp_dst=5001 actions=set_field:10.0.10.241->ip_src,set_field:10.0.1.21->ip_dst,set_field:02:a0:55:0a:f1:fb->eth_src,set_field:00:00:00:00:01:13->eth_dst,output:1
 cookie=0xa00000000a000843, duration=21.623s, table=0, n_packets=6, n_bytes=344, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=10,nw_src=10.0.0.9,nw_dst=10.0.7.3,tp_src=42280,tp_dst=5001 actions=set_field:10.0.8.67->ip_src,set_field:10.0.1.7->ip_dst,set_field:02:a0:55:08:43:4b->eth_src,set_field:00:00:00:00:01:05->eth_dst,output:1
 cookie=0xa00000000a000730, duration=21.583s, table=0, n_packets=6, n_bytes=344, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=4,nw_src=10.0.0.3,nw_dst=10.0.8.109,tp_src=60952,tp_dst=5001 actions=set_field:10.0.7.48->ip_src,set_field:10.0.1.1->ip_dst,set_field:02:a0:55:07:30:37->eth_src,set_field:00:00:00:00:00:ff->eth_dst,output:1
 cookie=0xa00000000a000a55, duration=21.537s, table=0, n_packets=6, n_bytes=344, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=14,nw_src=10.0.0.13,nw_dst=10.0.8.147,tp_src=51426,tp_dst=5001 actions=set_field:10.0.10.85->ip_src,set_field:10.0.1.11->ip_dst,set_field:02:a0:55:0a:55:5f->eth_src,set_field:00:00:00:00:01:09->eth_dst,output:1
 cookie=0xa00000000a000ac9, duration=21.448s, table=0, n_packets=6, n_bytes=344, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=21,nw_src=10.0.0.20,nw_dst=10.0.7.69,tp_src=46462,tp_dst=5001 actions=set_field:10.0.10.201->ip_src,set_field:10.0.1.18->ip_dst,set_field:02:a0:55:0a:c9:c3->eth_src,set_field:00:00:00:00:01:10->eth_dst,output:1
 cookie=0xa00000000a000ac8, duration=21.448s, table=0, n_packets=6, n_bytes=344, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=3,nw_src=10.0.0.2,nw_dst=10.0.11.25,tp_src=51786,tp_dst=5001 actions=set_field:10.0.10.200->ip_src,set_field:10.0.0.254->ip_dst,set_field:02:a0:55:0a:c8:c2->eth_src,set_field:00:00:00:00:00:fe->eth_dst,output:1
 cookie=0xa00000000a000a22, duration=21.356s, table=0, n_packets=6, n_bytes=344, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=2,nw_src=10.0.0.1,nw_dst=10.0.11.24,tp_src=58042,tp_dst=5001 actions=set_field:10.0.10.34->ip_src,set_field:10.0.0.253->ip_dst,set_field:02:a0:55:0a:22:28->eth_src,set_field:00:00:00:00:00:fd->eth_dst,output:1
 cookie=0xa00000000a000aa4, duration=21.273s, table=0, n_packets=6, n_bytes=344, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=19,nw_src=10.0.0.18,nw_dst=10.0.9.152,tp_src=41332,tp_dst=5001 actions=set_field:10.0.10.164->ip_src,set_field:10.0.1.16->ip_dst,set_field:02:a0:55:0a:a4:ae->eth_src,set_field:00:00:00:00:01:0e->eth_dst,output:1
 cookie=0xa00000000a000ab4, duration=21.233s, table=0, n_packets=6, n_bytes=344, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=20,nw_src=10.0.0.19,nw_dst=10.0.10.65,tp_src=43872,tp_dst=5001 actions=set_field:10.0.10.180->ip_src,set_field:10.0.1.17->ip_dst,set_field:02:a0:55:0a:b4:be->eth_src,set_field:00:00:00:00:01:0f->eth_dst,output:1
 cookie=0xa00000000a000ada, duration=21.155s, table=0, n_packets=6, n_bytes=344, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=22,nw_src=10.0.0.21,nw_dst=10.0.8.69,tp_src=52104,tp_dst=5001 actions=set_field:10.0.10.218->ip_src,set_field:10.0.1.19->ip_dst,set_field:02:a0:55:0a:da:d0->eth_src,set_field:00:00:00:00:01:11->eth_dst,output:1
 cookie=0xa00000000a0007cb, duration=20.996s, table=0, n_packets=6, n_bytes=344, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=7,nw_src=10.0.0.6,nw_dst=10.0.8.59,tp_src=48430,tp_dst=5001 actions=set_field:10.0.7.203->ip_src,set_field:10.0.1.4->ip_dst,set_field:02:a0:55:07:cb:cc->eth_src,set_field:00:00:00:00:01:02->eth_dst,output:1
 cookie=0xa00000000a000a46, duration=20.964s, table=0, n_packets=6, n_bytes=344, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=13,nw_src=10.0.0.12,nw_dst=10.0.8.115,tp_src=44492,tp_dst=5001 actions=set_field:10.0.10.70->ip_src,set_field:10.0.1.10->ip_dst,set_field:02:a0:55:0a:46:4c->eth_src,set_field:00:00:00:00:01:08->eth_dst,output:1
 cookie=0xa00000000a0007ea, duration=20.910s, table=0, n_packets=6, n_bytes=344, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=8,nw_src=10.0.0.7,nw_dst=10.0.8.95,tp_src=50830,tp_dst=5001 actions=set_field:10.0.7.234->ip_src,set_field:10.0.1.5->ip_dst,set_field:02:a0:55:07:ea:ed->eth_src,set_field:00:00:00:00:01:03->eth_dst,output:1
 cookie=0xa00000000a000809, duration=20.898s, table=0, n_packets=6, n_bytes=344, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=9,nw_src=10.0.0.8,nw_dst=10.0.8.146,tp_src=53770,tp_dst=5001 actions=set_field:10.0.8.9->ip_src,set_field:10.0.1.6->ip_dst,set_field:02:a0:55:08:09:01->eth_src,set_field:00:00:00:00:01:04->eth_dst,output:1
